,feature_name,importance
1119,Column_1119,0
1440,Column_1440,0
1439,Column_1439,0
1438,Column_1438,0
1437,Column_1437,0
1436,Column_1436,0
1435,Column_1435,0
1434,Column_1434,0
1433,Column_1433,0
1432,Column_1432,0
1431,Column_1431,0
1430,Column_1430,0
1429,Column_1429,0
1428,Column_1428,0
1441,Column_1441,0
1427,Column_1427,0
1425,Column_1425,0
1424,Column_1424,0
1423,Column_1423,0
1422,Column_1422,0
1421,Column_1421,0
1420,Column_1420,0
1419,Column_1419,0
1418,Column_1418,0
1417,Column_1417,0
1416,Column_1416,0
1415,Column_1415,0
1414,Column_1414,0
1413,Column_1413,0
1426,Column_1426,0
1442,Column_1442,0
1443,Column_1443,0
1444,Column_1444,0
1481,Column_1481,0
1480,Column_1480,0
1479,Column_1479,0
1478,Column_1478,0
1477,Column_1477,0
1476,Column_1476,0
1475,Column_1475,0
1474,Column_1474,0
1471,Column_1471,0
1470,Column_1470,0
1469,Column_1469,0
1468,Column_1468,0
1467,Column_1467,0
1466,Column_1466,0
1465,Column_1465,0
1464,Column_1464,0
1457,Column_1457,0
1456,Column_1456,0
1455,Column_1455,0
1454,Column_1454,0
1453,Column_1453,0
1452,Column_1452,0
1451,Column_1451,0
1450,Column_1450,0
1449,Column_1449,0
1448,Column_1448,0
1447,Column_1447,0
1446,Column_1446,0
1445,Column_1445,0
1412,Column_1412,0
1411,Column_1411,0
1410,Column_1410,0
1409,Column_1409,0
1372,Column_1372,0
1370,Column_1370,0
1369,Column_1369,0
1368,Column_1368,0
1367,Column_1367,0
1366,Column_1366,0
1365,Column_1365,0
1364,Column_1364,0
1363,Column_1363,0
1362,Column_1362,0
1361,Column_1361,0
1360,Column_1360,0
1359,Column_1359,0
1358,Column_1358,0
1357,Column_1357,0
1356,Column_1356,0
1355,Column_1355,0
1354,Column_1354,0
1353,Column_1353,0
1352,Column_1352,0
1347,Column_1347,0
1346,Column_1346,0
1345,Column_1345,0
1344,Column_1344,0
1343,Column_1343,0
1342,Column_1342,0
1341,Column_1341,0
1340,Column_1340,0
1339,Column_1339,0
1374,Column_1374,0
1482,Column_1482,0
1375,Column_1375,0
1378,Column_1378,0
1408,Column_1408,0
1407,Column_1407,0
1406,Column_1406,0
1405,Column_1405,0
1404,Column_1404,0
1403,Column_1403,0
1402,Column_1402,0
1401,Column_1401,0
1400,Column_1400,0
1399,Column_1399,0
1398,Column_1398,0
1397,Column_1397,0
1395,Column_1395,0
1394,Column_1394,0
1393,Column_1393,0
1392,Column_1392,0
1391,Column_1391,0
1390,Column_1390,0
1389,Column_1389,0
1388,Column_1388,0
1387,Column_1387,0
1386,Column_1386,0
1385,Column_1385,0
1384,Column_1384,0
1383,Column_1383,0
1382,Column_1382,0
1381,Column_1381,0
1380,Column_1380,0
1379,Column_1379,0
1377,Column_1377,0
1338,Column_1338,0
1483,Column_1483,0
1485,Column_1485,0
1598,Column_1598,0
1597,Column_1597,0
1596,Column_1596,0
1595,Column_1595,0
1592,Column_1592,0
1591,Column_1591,0
1590,Column_1590,0
1589,Column_1589,0
1586,Column_1586,0
1585,Column_1585,0
1584,Column_1584,0
1583,Column_1583,0
1582,Column_1582,0
1599,Column_1599,0
1581,Column_1581,0
1579,Column_1579,0
1578,Column_1578,0
1577,Column_1577,0
1576,Column_1576,0
1575,Column_1575,0
1574,Column_1574,0
1573,Column_1573,0
1572,Column_1572,0
1571,Column_1571,0
1570,Column_1570,0
1569,Column_1569,0
1568,Column_1568,0
1567,Column_1567,0
1580,Column_1580,0
1600,Column_1600,0
1601,Column_1601,0
1602,Column_1602,0
1635,Column_1635,0
1634,Column_1634,0
1633,Column_1633,0
1632,Column_1632,0
1631,Column_1631,0
1628,Column_1628,0
1626,Column_1626,0
1624,Column_1624,0
1623,Column_1623,0
1622,Column_1622,0
1621,Column_1621,0
1620,Column_1620,0
1619,Column_1619,0
1618,Column_1618,0
1617,Column_1617,0
1616,Column_1616,0
1615,Column_1615,0
1614,Column_1614,0
1613,Column_1613,0
1612,Column_1612,0
1611,Column_1611,0
1610,Column_1610,0
1609,Column_1609,0
1608,Column_1608,0
1607,Column_1607,0
1606,Column_1606,0
1605,Column_1605,0
1604,Column_1604,0
1603,Column_1603,0
1566,Column_1566,0
1565,Column_1565,0
1564,Column_1564,0
1563,Column_1563,0
1526,Column_1526,0
1524,Column_1524,0
1523,Column_1523,0
1522,Column_1522,0
1521,Column_1521,0
1520,Column_1520,0
1519,Column_1519,0
1518,Column_1518,0
1517,Column_1517,0
1516,Column_1516,0
1515,Column_1515,0
1514,Column_1514,0
1513,Column_1513,0
1512,Column_1512,0
1508,Column_1508,0
1507,Column_1507,0
1506,Column_1506,0
1505,Column_1505,0
1504,Column_1504,0
1503,Column_1503,0
1502,Column_1502,0
1501,Column_1501,0
1500,Column_1500,0
1498,Column_1498,0
1495,Column_1495,0
1493,Column_1493,0
1492,Column_1492,0
1490,Column_1490,0
1486,Column_1486,0
1528,Column_1528,0
1484,Column_1484,0
1529,Column_1529,0
1532,Column_1532,0
1562,Column_1562,0
1561,Column_1561,0
1560,Column_1560,0
1559,Column_1559,0
1558,Column_1558,0
1557,Column_1557,0
1556,Column_1556,0
1555,Column_1555,0
1554,Column_1554,0
1553,Column_1553,0
1552,Column_1552,0
1551,Column_1551,0
1550,Column_1550,0
1549,Column_1549,0
1548,Column_1548,0
1547,Column_1547,0
1545,Column_1545,0
1544,Column_1544,0
1543,Column_1543,0
1542,Column_1542,0
1541,Column_1541,0
1540,Column_1540,0
1539,Column_1539,0
1538,Column_1538,0
1537,Column_1537,0
1536,Column_1536,0
1535,Column_1535,0
1534,Column_1534,0
1533,Column_1533,0
1531,Column_1531,0
1636,Column_1636,0
1337,Column_1337,0
1335,Column_1335,0
1150,Column_1150,0
1149,Column_1149,0
1148,Column_1148,0
1147,Column_1147,0
1146,Column_1146,0
1145,Column_1145,0
1144,Column_1144,0
1143,Column_1143,0
1142,Column_1142,0
1141,Column_1141,0
1140,Column_1140,0
1139,Column_1139,0
1138,Column_1138,0
1151,Column_1151,0
1137,Column_1137,0
1135,Column_1135,0
1134,Column_1134,0
1133,Column_1133,0
1132,Column_1132,0
1131,Column_1131,0
1130,Column_1130,0
1129,Column_1129,0
1128,Column_1128,0
1127,Column_1127,0
1126,Column_1126,0
1125,Column_1125,0
1124,Column_1124,0
1123,Column_1123,0
1136,Column_1136,0
1152,Column_1152,0
1153,Column_1153,0
1154,Column_1154,0
1183,Column_1183,0
1182,Column_1182,0
1181,Column_1181,0
1180,Column_1180,0
1179,Column_1179,0
1178,Column_1178,0
1177,Column_1177,0
1176,Column_1176,0
1175,Column_1175,0
1174,Column_1174,0
1173,Column_1173,0
1172,Column_1172,0
1171,Column_1171,0
1170,Column_1170,0
1169,Column_1169,0
1168,Column_1168,0
1167,Column_1167,0
1166,Column_1166,0
1165,Column_1165,0
1164,Column_1164,0
1163,Column_1163,0
1162,Column_1162,0
1161,Column_1161,0
1160,Column_1160,0
1159,Column_1159,0
1158,Column_1158,0
1157,Column_1157,0
1156,Column_1156,0
1155,Column_1155,0
1122,Column_1122,0
1121,Column_1121,0
1120,Column_1120,0
2238,Column_2238,0
1078,Column_1078,0
1077,Column_1077,0
1076,Column_1076,0
1075,Column_1075,0
1074,Column_1074,0
1073,Column_1073,0
1072,Column_1072,0
1071,Column_1071,0
1070,Column_1070,0
1069,Column_1069,0
1068,Column_1068,0
1067,Column_1067,0
1066,Column_1066,0
1065,Column_1065,0
1064,Column_1064,0
1063,Column_1063,0
1062,Column_1062,0
1061,Column_1061,0
1060,Column_1060,0
1059,Column_1059,0
1058,Column_1058,0
1057,Column_1057,0
1056,Column_1056,0
1055,Column_1055,0
1054,Column_1054,0
1053,Column_1053,0
1052,Column_1052,0
1051,Column_1051,0
1050,Column_1050,0
1079,Column_1079,0
1184,Column_1184,0
1080,Column_1080,0
1082,Column_1082,0
1118,Column_1118,0
1116,Column_1116,0
1115,Column_1115,0
1113,Column_1113,0
1112,Column_1112,0
1111,Column_1111,0
1110,Column_1110,0
1108,Column_1108,0
1107,Column_1107,0
1106,Column_1106,0
1105,Column_1105,0
1104,Column_1104,0
1103,Column_1103,0
1102,Column_1102,0
1101,Column_1101,0
1096,Column_1096,0
1095,Column_1095,0
1094,Column_1094,0
1093,Column_1093,0
1092,Column_1092,0
1091,Column_1091,0
1090,Column_1090,0
1089,Column_1089,0
1088,Column_1088,0
1087,Column_1087,0
1086,Column_1086,0
1085,Column_1085,0
1084,Column_1084,0
1083,Column_1083,0
1081,Column_1081,0
1336,Column_1336,0
1185,Column_1185,0
1187,Column_1187,0
1301,Column_1301,0
1300,Column_1300,0
1299,Column_1299,0
1298,Column_1298,0
1297,Column_1297,0
1296,Column_1296,0
1295,Column_1295,0
1294,Column_1294,0
1293,Column_1293,0
1292,Column_1292,0
1291,Column_1291,0
1290,Column_1290,0
1289,Column_1289,0
1302,Column_1302,0
1288,Column_1288,0
1286,Column_1286,0
1285,Column_1285,0
1283,Column_1283,0
1282,Column_1282,0
1281,Column_1281,0
1280,Column_1280,0
1279,Column_1279,0
1278,Column_1278,0
1277,Column_1277,0
1276,Column_1276,0
1275,Column_1275,0
1274,Column_1274,0
1273,Column_1273,0
1287,Column_1287,0
1303,Column_1303,0
1304,Column_1304,0
1305,Column_1305,0
1334,Column_1334,0
1333,Column_1333,0
1332,Column_1332,0
1331,Column_1331,0
1330,Column_1330,0
1329,Column_1329,0
1328,Column_1328,0
1327,Column_1327,0
1326,Column_1326,0
1325,Column_1325,0
1324,Column_1324,0
1323,Column_1323,0
1322,Column_1322,0
1321,Column_1321,0
1320,Column_1320,0
1319,Column_1319,0
1318,Column_1318,0
1317,Column_1317,0
1316,Column_1316,0
1315,Column_1315,0
1314,Column_1314,0
1313,Column_1313,0
1312,Column_1312,0
1311,Column_1311,0
1310,Column_1310,0
1309,Column_1309,0
1308,Column_1308,0
1307,Column_1307,0
1306,Column_1306,0
1272,Column_1272,0
1271,Column_1271,0
1270,Column_1270,0
1269,Column_1269,0
1224,Column_1224,0
1223,Column_1223,0
1222,Column_1222,0
1221,Column_1221,0
1220,Column_1220,0
1219,Column_1219,0
1216,Column_1216,0
1215,Column_1215,0
1214,Column_1214,0
1213,Column_1213,0
1212,Column_1212,0
1211,Column_1211,0
1210,Column_1210,0
1209,Column_1209,0
1202,Column_1202,0
1201,Column_1201,0
1200,Column_1200,0
1199,Column_1199,0
1198,Column_1198,0
1197,Column_1197,0
1196,Column_1196,0
1195,Column_1195,0
1194,Column_1194,0
1193,Column_1193,0
1192,Column_1192,0
1191,Column_1191,0
1190,Column_1190,0
1189,Column_1189,0
1188,Column_1188,0
1227,Column_1227,0
1186,Column_1186,0
1228,Column_1228,0
1230,Column_1230,0
1268,Column_1268,0
1267,Column_1267,0
1266,Column_1266,0
1265,Column_1265,0
1263,Column_1263,0
1262,Column_1262,0
1261,Column_1261,0
1260,Column_1260,0
1259,Column_1259,0
1256,Column_1256,0
1254,Column_1254,0
1253,Column_1253,0
1252,Column_1252,0
1249,Column_1249,0
1248,Column_1248,0
1247,Column_1247,0
1246,Column_1246,0
1245,Column_1245,0
1244,Column_1244,0
1243,Column_1243,0
1242,Column_1242,0
1239,Column_1239,0
1238,Column_1238,0
1236,Column_1236,0
1235,Column_1235,0
1234,Column_1234,0
1233,Column_1233,0
1232,Column_1232,0
1231,Column_1231,0
1229,Column_1229,0
1049,Column_1049,0
1638,Column_1638,0
1640,Column_1640,0
2017,Column_2017,0
2015,Column_2015,0
2012,Column_2012,0
2011,Column_2011,0
2010,Column_2010,0
2009,Column_2009,0
2008,Column_2008,0
2007,Column_2007,0
2006,Column_2006,0
2005,Column_2005,0
2004,Column_2004,0
2003,Column_2003,0
2002,Column_2002,0
2019,Column_2019,0
2001,Column_2001,0
1999,Column_1999,0
1998,Column_1998,0
1997,Column_1997,0
1996,Column_1996,0
1995,Column_1995,0
1994,Column_1994,0
1993,Column_1993,0
1992,Column_1992,0
1991,Column_1991,0
1990,Column_1990,0
1989,Column_1989,0
1988,Column_1988,0
1987,Column_1987,0
2000,Column_2000,0
2020,Column_2020,0
2021,Column_2021,0
2022,Column_2022,0
2051,Column_2051,0
2050,Column_2050,0
2049,Column_2049,0
2048,Column_2048,0
2047,Column_2047,0
2046,Column_2046,0
2045,Column_2045,0
2044,Column_2044,0
2043,Column_2043,0
2042,Column_2042,0
2041,Column_2041,0
2040,Column_2040,0
2039,Column_2039,0
2038,Column_2038,0
2037,Column_2037,0
2036,Column_2036,0
2035,Column_2035,0
2034,Column_2034,0
2033,Column_2033,0
2032,Column_2032,0
2031,Column_2031,0
2030,Column_2030,0
2029,Column_2029,0
2028,Column_2028,0
2027,Column_2027,0
2026,Column_2026,0
2025,Column_2025,0
2024,Column_2024,0
2023,Column_2023,0
1986,Column_1986,0
1985,Column_1985,0
1984,Column_1984,0
1983,Column_1983,0
1948,Column_1948,0
1947,Column_1947,0
1946,Column_1946,0
1945,Column_1945,0
1944,Column_1944,0
1943,Column_1943,0
1942,Column_1942,0
1940,Column_1940,0
1939,Column_1939,0
1938,Column_1938,0
1937,Column_1937,0
1936,Column_1936,0
1935,Column_1935,0
1934,Column_1934,0
1933,Column_1933,0
1932,Column_1932,0
1931,Column_1931,0
1930,Column_1930,0
1929,Column_1929,0
1928,Column_1928,0
1927,Column_1927,0
1926,Column_1926,0
1925,Column_1925,0
1924,Column_1924,0
1923,Column_1923,0
1922,Column_1922,0
1921,Column_1921,0
1920,Column_1920,0
1919,Column_1919,0
1949,Column_1949,0
2052,Column_2052,0
1950,Column_1950,0
1952,Column_1952,0
1982,Column_1982,0
1981,Column_1981,0
1980,Column_1980,0
1979,Column_1979,0
1978,Column_1978,0
1977,Column_1977,0
1976,Column_1976,0
1975,Column_1975,0
1974,Column_1974,0
1973,Column_1973,0
1972,Column_1972,0
1971,Column_1971,0
1970,Column_1970,0
1969,Column_1969,0
1968,Column_1968,0
1967,Column_1967,0
1966,Column_1966,0
1965,Column_1965,0
1964,Column_1964,0
1963,Column_1963,0
1962,Column_1962,0
1961,Column_1961,0
1960,Column_1960,0
1959,Column_1959,0
1958,Column_1958,0
1957,Column_1957,0
1956,Column_1956,0
1954,Column_1954,0
1953,Column_1953,0
1951,Column_1951,0
1916,Column_1916,0
2053,Column_2053,0
2055,Column_2055,0
2183,Column_2183,0
2182,Column_2182,0
2181,Column_2181,0
2180,Column_2180,0
2179,Column_2179,0
2178,Column_2178,0
2177,Column_2177,0
2176,Column_2176,0
2175,Column_2175,0
2174,Column_2174,0
2173,Column_2173,0
2172,Column_2172,0
2171,Column_2171,0
2184,Column_2184,0
2170,Column_2170,0
2168,Column_2168,0
2167,Column_2167,0
