,score
f95,20851
f0,3986
f96,3172
f1,965
f386,834
f2,822
f387,749
f98,709
f103,708
f162,558
f64,542
f838,528
f587,518
f694,517
f168,511
f100,511
f841,507
f167,498
f106,497
f588,497
f949,468
f483,431
f136,410
f484,409
f1080,402
f385,392
f1200,370
f951,368
f740,361
f1078,349
f486,347
f102,346
f231,341
f953,337
f693,334
f1211,330
f174,323
f1324,316
f697,307
f1198,288
f590,286
f698,278
f111,277
f3,268
f1232,265
f169,261
f839,256
f1172,246
f112,242
f290,240
f696,238
f727,235
f958,233
f164,220
f589,216
f177,214
f488,214
f769,212
f292,212
f1117,209
f1085,205
f1109,193
f1084,191
f1077,189
f1503,180
f985,180
f952,177
f204,176
f1329,172
f1217,167
f1204,167
f999,166
f1214,162
f1319,160
f1321,159
f124,159
f708,155
f1002,149
f179,148
f298,147
f904,145
f388,144
f1407,144
f295,144
f108,143
f1127,143
f119,142
f331,141
f1083,139
f127,137
f968,137
f591,136
f485,136
f140,135
f1233,135
f1201,134
f948,132
f1242,131
f170,130
f173,129
f1041,128
f1115,126
f1031,125
f1228,124
f1042,124
f954,123
f321,123
f1034,122
f730,122
f1445,119
f978,118
f317,118
f114,117
f128,117
f950,115
f807,114
f784,114
f1451,112
f1501,112
f1022,111
f143,110
f963,109
f1081,109
f757,108
f185,107
f1408,107
f709,106
f115,105
f8,103
f1108,103
f715,103
f113,102
f105,101
f5,100
f1118,99
f120,97
f1508,95
f1199,95
f134,94
f1017,94
f1504,93
f1027,91
f56,90
f1506,90
f1134,90
f4,87
f969,87
f902,86
f1326,86
f695,86
f718,85
f1430,84
f984,83
f35,82
f987,79
f959,77
f707,77
f870,76
f1095,75
f200,74
f1029,74
f1015,73
f873,73
f763,73
f132,73
f1511,72
f1145,72
f307,72
f291,71
f1001,71
f348,71
f749,70
f176,70
f1175,70
f125,69
f312,69
f989,69
f741,68
f1119,68
f864,67
f1178,67
f1036,67
f745,67
f742,66
f840,66
f1454,66
f9,65
f1442,65
f1138,65
f122,65
f1091,64
f702,64
f77,63
f161,63
f1120,61
f1234,61
f282,60
f1320,60
f979,59
f107,59
f1024,58
f445,58
f319,57
f390,57
f93,56
f116,55
f701,53
f754,53
f137,53
f129,52
f147,52
f1011,52
f747,52
f104,51
f1437,51
f101,51
f205,51
f1325,51
f294,51
f1131,51
f762,51
f97,51
f1509,50
