feature_name,importance
Column_622,0
Column_806,0
Column_805,0
Column_804,0
Column_803,0
Column_802,0
Column_801,0
Column_807,0
Column_800,0
Column_798,0
Column_797,0
Column_796,0
Column_795,0
Column_794,0
Column_793,0
Column_799,0
Column_792,0
Column_808,0
Column_810,0
Column_828,0
Column_827,0
Column_826,0
Column_825,0
Column_824,0
Column_823,0
Column_809,0
Column_822,0
Column_816,0
Column_815,0
Column_814,0
Column_813,0
Column_812,0
Column_811,0
Column_817,0
Column_791,0
Column_790,0
Column_789,0
Column_769,0
Column_768,0
Column_767,0
Column_766,0
Column_765,0
Column_764,0
Column_770,0
Column_763,0
Column_761,0
Column_760,0
Column_759,0
Column_758,0
Column_757,0
Column_756,0
Column_762,0
Column_771,0
Column_772,0
Column_773,0
Column_788,0
Column_787,0
Column_786,0
Column_785,0
Column_784,0
Column_783,0
Column_782,0
Column_781,0
Column_780,0
Column_779,0
Column_778,0
Column_777,0
Column_776,0
Column_775,0
Column_774,0
Column_829,0
Column_830,0
Column_831,0
Column_832,0
Column_887,0
Column_886,0
Column_885,0
Column_884,0
Column_883,0
Column_882,0
Column_888,0
Column_881,0
Column_879,0
Column_878,0
Column_877,0
Column_876,0
Column_875,0
Column_874,0
Column_880,0
Column_889,0
Column_890,0
Column_891,0
Column_906,0
Column_905,0
Column_904,0
Column_903,0
Column_902,0
Column_901,0
Column_900,0
Column_899,0
Column_898,0
Column_897,0
Column_896,0
Column_895,0
Column_894,0
Column_893,0
Column_892,0
Column_873,0
Column_755,0
Column_872,0
Column_870,0
Column_849,0
Column_848,0
Column_847,0
Column_845,0
Column_844,0
Column_842,0
Column_850,0
Column_840,0
Column_838,0
Column_837,0
Column_836,0
Column_835,0
Column_834,0
Column_833,0
Column_839,0
Column_851,0
Column_852,0
Column_853,0
Column_869,0
Column_868,0
Column_867,0
Column_865,0
Column_864,0
Column_863,0
Column_862,0
Column_861,0
Column_860,0
Column_859,0
Column_858,0
Column_857,0
Column_856,0
Column_855,0
Column_854,0
Column_871,0
Column_907,0
Column_753,0
Column_751,0
Column_640,0
Column_639,0
Column_638,0
Column_637,0
Column_636,0
Column_635,0
Column_641,0
Column_634,0
Column_632,0
Column_631,0
Column_630,0
Column_629,0
Column_628,0
Column_627,0
Column_633,0
Column_626,0
Column_642,0
Column_644,0
Column_658,0
Column_657,0
Column_656,0
Column_655,0
Column_654,0
Column_653,0
Column_643,0
Column_652,0
Column_650,0
Column_649,0
Column_648,0
Column_647,0
Column_646,0
Column_645,0
Column_651,0
Column_625,0
Column_624,0
Column_623,0
Column_603,0
Column_602,0
Column_601,0
Column_600,0
Column_599,0
Column_598,0
Column_604,0
Column_597,0
Column_595,0
Column_594,0
Column_593,0
Column_592,0
Column_591,0
Column_590,0
Column_596,0
Column_605,0
Column_606,0
Column_607,0
Column_1244,0
Column_621,0
Column_620,0
Column_619,0
Column_618,0
Column_617,0
Column_616,0
Column_615,0
Column_614,0
Column_613,0
Column_612,0
Column_611,0
Column_610,0
Column_609,0
Column_608,0
Column_659,0
Column_660,0
Column_661,0
Column_662,0
Column_730,0
Column_729,0
Column_726,0
Column_724,0
Column_723,0
Column_722,0
Column_731,0
Column_719,0
Column_717,0
Column_716,0
Column_715,0
Column_714,0
Column_713,0
Column_712,0
Column_718,0
Column_732,0
Column_733,0
Column_735,0
Column_750,0
Column_749,0
Column_748,0
Column_747,0
Column_746,0
Column_745,0
Column_744,0
Column_743,0
Column_742,0
Column_741,0
Column_740,0
Column_739,0
Column_738,0
Column_737,0
Column_736,0
Column_711,0
Column_752,0
Column_709,0
Column_706,0
Column_682,0
Column_681,0
Column_680,0
Column_679,0
Column_672,0
Column_671,0
Column_683,0
Column_670,0
Column_668,0
Column_667,0
Column_666,0
Column_665,0
Column_664,0
Column_663,0
Column_669,0
Column_684,0
Column_685,0
Column_686,0
Column_705,0
Column_704,0
Column_703,0
Column_702,0
Column_701,0
Column_700,0
Column_699,0
Column_698,0
Column_697,0
Column_694,0
Column_693,0
Column_692,0
Column_691,0
Column_690,0
Column_689,0
Column_708,0
Column_908,0
Column_909,0
Column_910,0
Column_1139,0
Column_1138,0
Column_1137,0
Column_1136,0
Column_1135,0
Column_1134,0
Column_1140,0
Column_1133,0
Column_1131,0
Column_1130,0
Column_1129,0
Column_1128,0
Column_1127,0
Column_1126,0
Column_1132,0
Column_1125,0
Column_1141,0
Column_1143,0
Column_1159,0
Column_1158,0
Column_1157,0
Column_1156,0
Column_1154,0
Column_1153,0
Column_1142,0
Column_1151,0
Column_1149,0
Column_1148,0
Column_1147,0
Column_1146,0
Column_1145,0
Column_1144,0
Column_1150,0
Column_1124,0
Column_1123,0
Column_1122,0
Column_1101,0
Column_1098,0
Column_1096,0
Column_1094,0
Column_1093,0
Column_1092,0
Column_1102,0
Column_1091,0
Column_1089,0
Column_1088,0
Column_1087,0
Column_1086,0
Column_1085,0
Column_1084,0
Column_1090,0
Column_1103,0
Column_1104,0
Column_1105,0
Column_1121,0
Column_1120,0
Column_1119,0
Column_1118,0
Column_1117,0
Column_1116,0
Column_1115,0
Column_1114,0
Column_1113,0
Column_1112,0
Column_1111,0
Column_1110,0
Column_1109,0
Column_1108,0
Column_1106,0
Column_1160,0
Column_1161,0
Column_1162,0
Column_1163,0
Column_1224,0
Column_1223,0
Column_1220,0
Column_1219,0
Column_1218,0
Column_1217,0
Column_1225,0
Column_1216,0
Column_1214,0
Column_1211,0
Column_1210,0
Column_1209,0
Column_1208,0
Column_1207,0
Column_1215,0
Column_1226,0
Column_1227,0
Column_1228,0
Column_1243,0
Column_1242,0
Column_1241,0
Column_1240,0
Column_1239,0
Column_1238,0
Column_1237,0
Column_1236,0
Column_1235,0
Column_1234,0
Column_1233,0
Column_1232,0
Column_1231,0
Column_1230,0
Column_1229,0
Column_1206,0
Column_1083,0
Column_1205,0
Column_1203,0
Column_1177,0
Column_1176,0
Column_1175,0
Column_1174,0
Column_1173,0
Column_1172,0
Column_1179,0
Column_1171,0
Column_1169,0
Column_1168,0
Column_1167,0
Column_1166,0
Column_1165,0
Column_1164,0
Column_1170,0
Column_1182,0
Column_1183,0
Column_1184,0
Column_1202,0
Column_1201,0
Column_1200,0
Column_1199,0
Column_1198,0
Column_1196,0
Column_1193,0
Column_1192,0
Column_1191,0
Column_1190,0
Column_1189,0
Column_1188,0
Column_1187,0
Column_1186,0
Column_1185,0
Column_1204,0
Column_1082,0
Column_1081,0
Column_1080,0
Column_975,0
Column_974,0
Column_973,0
Column_972,0
Column_971,0
Column_970,0
Column_976,0
Column_969,0
Column_965,0
Column_963,0
Column_962,0
Column_960,0
Column_956,0
Column_955,0
Column_968,0
Column_977,0
Column_978,0
Column_982,0
Column_999,0
Column_998,0
Column_996,0
Column_994,0
Column_993,0
Column_992,0
Column_991,0
Column_990,0
Column_989,0
Column_988,0
Column_987,0
Column_986,0
Column_985,0
Column_984,0
Column_983,0
Column_954,0
Column_1001,0
Column_953,0
Column_951,0
Column_924,0
Column_923,0
Column_922,0
Column_921,0
Column_920,0
Column_919,0
Column_925,0
Column_918,0
Column_916,0
Column_915,0
Column_914,0
Column_913,0
Column_912,0
Column_911,0
Column_917,0
Column_926,0
Column_927,0
Column_928,0
Column_950,0
Column_949,0
Column_948,0
Column_947,0
Column_946,0
Column_945,0
Column_944,0
Column_941,0
Column_940,0
Column_939,0
Column_938,0
Column_937,0
Column_936,0
Column_935,0
Column_934,0
Column_952,0
Column_589,0
Column_1002,0
Column_1004,0
Column_1056,0
Column_1055,0
Column_1054,0
Column_1053,0
Column_1052,0
Column_1051,0
Column_1059,0
Column_1050,0
Column_1048,0
Column_1047,0
Column_1046,0
Column_1045,0
Column_1044,0
Column_1043,0
Column_1049,0
Column_1060,0
Column_1061,0
Column_1062,0
Column_1079,0
Column_1078,0
Column_1077,0
Column_1076,0
Column_1075,0
Column_1074,0
Column_1073,0
Column_1072,0
Column_1071,0
Column_1070,0
Column_1069,0
Column_1068,0
Column_1067,0
Column_1066,0
Column_1065,0
Column_1042,0
Column_1003,0
Column_1041,0
Column_1039,0
Column_1019,0
Column_1018,0
Column_1017,0
Column_1015,0
Column_1014,0
Column_1013,0
Column_1020,0
Column_1012,0
Column_1010,0
Column_1009,0
Column_1008,0
Column_1007,0
Column_1006,0
Column_1005,0
Column_1011,0
Column_1021,0
Column_1022,0
Column_1023,0
Column_1038,0
Column_1037,0
Column_1036,0
Column_1035,0
Column_1034,0
Column_1033,0
Column_1032,0
Column_1031,0
Column_1030,0
Column_1029,0
Column_1028,0
Column_1027,0
Column_1026,0
Column_1025,0
Column_1024,0
Column_1040,0
Column_588,0
Column_1245,0
Column_586,0
Column_248,0
Column_249,0
Column_250,0
Column_251,0
Column_252,0
Column_253,0
Column_254,0
Column_255,0
Column_256,0
Column_257,0
Column_258,0
Column_259,0
Column_262,0
Column_247,0
Column_263,0
Column_265,0
Column_266,0
Column_267,0
Column_268,0
Column_269,0
Column_271,0
Column_273,0
Column_274,0
Column_276,0
Column_277,0
Column_279,0
Column_280,0
Column_281,0
Column_264,0
Column_246,0
Column_245,0
Column_244,0
Column_215,0
Column_216,0
Column_217,0
Column_218,0
Column_219,0
Column_220,0
Column_221,0
Column_222,0
Column_223,0
Column_224,0
Column_225,0
Column_226,0
Column_227,0
Column_228,0
Column_229,0
Column_230,0
Column_231,0
Column_232,0
Column_233,0
Column_234,0
Column_235,0
Column_236,0
Column_237,0
Column_238,0
Column_239,0
Column_240,0
Column_241,0
Column_242,0
Column_243,0
Column_282,0
Column_283,0
Column_284,0
Column_286,0
Column_320,0
Column_321,0
Column_322,0
Column_323,0
Column_324,0
Column_325,0
Column_326,0
Column_327,0
Column_328,0
Column_329,0
Column_330,0
Column_331,0
Column_332,0
Column_333,0
Column_334,0
Column_335,0
Column_336,0
Column_337,0
Column_338,0
Column_339,0
Column_340,0
Column_341,0
Column_342,0
Column_343,0
Column_344,0
Column_345,0
Column_346,0
Column_347,0
Column_348,0
Column_319,0
Column_214,0
Column_318,0
Column_316,0
Column_287,0
Column_288,0
Column_289,0
Column_290,0
Column_291,0
Column_292,0
Column_293,0
Column_294,0
Column_295,0
Column_296,0
Column_297,0
Column_298,0
Column_299,0
Column_300,0
Column_301,0
Column_302,0
Column_303,0
Column_304,0
Column_305,0
Column_306,0
Column_307,0
Column_308,0
Column_309,0
Column_310,0
Column_311,0
Column_312,0
Column_313,0
Column_314,0
Column_315,0
Column_317,0
Column_213,0
Column_212,0
Column_211,0
Column_109,0
Column_110,0
Column_111,0
Column_112,0
Column_113,0
Column_114,0
Column_115,0
Column_116,0
Column_117,0
Column_118,0
Column_119,0
Column_120,0
Column_121,0
Column_122,0
Column_123,0
Column_124,0
Column_125,0
Column_126,0
Column_127,0
Column_128,0
Column_129,0
Column_130,0
Column_131,0
Column_132,0
Column_133,0
Column_134,0
Column_135,0
Column_136,0
Column_137,0
Column_108,0
Column_138,0
Column_107,0
Column_105,0
Column_12,0
Column_13,0
Column_25,0
Column_28,0
Column_30,0
Column_33,0
Column_34,0
Column_77,0
Column_79,0
Column_81,0
Column_82,0
Column_84,0
Column_85,0
Column_87,0
Column_88,0
Column_89,0
Column_90,0
Column_93,0
Column_94,0
Column_95,0
Column_96,0
Column_97,0
Column_98,0
Column_99,0
Column_100,0
Column_101,0
Column_102,0
Column_103,0
Column_104,0
Column_106,0
Column_349,0
Column_139,0
Column_143,0
Column_182,0
Column_183,0
Column_184,0
Column_185,0
Column_186,0
Column_187,0
Column_188,0
Column_189,0
Column_190,0
Column_191,0
Column_192,0
Column_193,0
Column_194,0
Column_195,0
Column_196,0
Column_197,0
Column_198,0
Column_199,0
Column_200,0
Column_201,0
Column_202,0
Column_203,0
Column_204,0
Column_205,0
Column_206,0
Column_207,0
Column_208,0
Column_209,0
Column_210,0
Column_181,0
Column_140,0
Column_179,0
Column_177,0
Column_145,0
Column_146,0
Column_149,0
Column_150,0
Column_151,0
Column_152,0
Column_153,0
Column_154,0
Column_155,0
Column_156,0
Column_158,0
Column_159,0
Column_160,0
Column_161,0
Column_162,0
Column_163,0
Column_164,0
Column_165,0
Column_166,0
Column_167,0
Column_168,0
