,feature_name,importance
795,Column_795,0
920,Column_920,0
919,Column_919,0
918,Column_918,0
917,Column_917,0
916,Column_916,0
915,Column_915,0
914,Column_914,0
913,Column_913,0
912,Column_912,0
911,Column_911,0
910,Column_910,0
909,Column_909,0
908,Column_908,0
907,Column_907,0
906,Column_906,0
905,Column_905,0
904,Column_904,0
921,Column_921,0
903,Column_903,0
922,Column_922,0
924,Column_924,0
941,Column_941,0
940,Column_940,0
939,Column_939,0
938,Column_938,0
937,Column_937,0
936,Column_936,0
935,Column_935,0
934,Column_934,0
933,Column_933,0
932,Column_932,0
931,Column_931,0
930,Column_930,0
929,Column_929,0
928,Column_928,0
927,Column_927,0
926,Column_926,0
925,Column_925,0
923,Column_923,0
902,Column_902,0
901,Column_901,0
900,Column_900,0
877,Column_877,0
876,Column_876,0
875,Column_875,0
874,Column_874,0
873,Column_873,0
872,Column_872,0
871,Column_871,0
870,Column_870,0
869,Column_869,0
868,Column_868,0
867,Column_867,0
1421,Column_1421,0
865,Column_865,0
864,Column_864,0
1422,Column_1422,0
862,Column_862,0
1423,Column_1423,0
878,Column_878,0
879,Column_879,0
880,Column_880,0
881,Column_881,0
899,Column_899,0
898,Column_898,0
897,Column_897,0
896,Column_896,0
895,Column_895,0
894,Column_894,0
893,Column_893,0
892,Column_892,0
942,Column_942,0
891,Column_891,0
889,Column_889,0
888,Column_888,0
887,Column_887,0
1420,Column_1420,0
885,Column_885,0
884,Column_884,0
883,Column_883,0
882,Column_882,0
890,Column_890,0
943,Column_943,0
944,Column_944,0
945,Column_945,0
1006,Column_1006,0
1005,Column_1005,0
1004,Column_1004,0
1003,Column_1003,0
1002,Column_1002,0
1401,Column_1401,0
1402,Column_1402,0
1403,Column_1403,0
998,Column_998,0
997,Column_997,0
996,Column_996,0
995,Column_995,0
994,Column_994,0
993,Column_993,0
992,Column_992,0
991,Column_991,0
990,Column_990,0
1007,Column_1007,0
1008,Column_1008,0
1009,Column_1009,0
1010,Column_1010,0
1028,Column_1028,0
1027,Column_1027,0
1026,Column_1026,0
1025,Column_1025,0
