,score
f128,39809
f1,7926
f127,5654
f15,2720
f3,2556
f23,2131
f118,2105
f22,2071
f2,1971
f40,1951
f111,1942
f0,1935
f77,1847
f46,1819
f43,1680
f120,1593
f82,1586
f92,1513
f69,1509
f75,1445
f49,1423
f10,1403
f112,1385
f52,1377
f26,1307
f38,1303
f94,1302
f65,1290
f71,1289
f33,1273
f30,1162
f110,1111
f104,1074
f66,1026
f59,1002
f96,999
f63,969
f19,969
f106,968
f99,947
f64,944
f36,941
f7,928
f58,919
f62,905
f125,882
f9,867
f5,859
f35,840
f108,836
f121,831
f124,826
f102,812
f48,782
f101,781
f116,771
f123,737
f4,737
f20,732
f84,716
f53,694
f117,636
f68,605
f122,605
f80,604
f27,604
f16,603
f93,595
f61,582
f87,581
f115,567
f45,563
f126,549
f11,547
f86,538
f42,514
f6,471
f95,439
f55,433
f73,421
f60,387
f119,373
f12,372
f85,369
f67,362
f109,348
f74,343
f57,327
f83,312
f78,266
f88,257
f107,236
f90,205
f79,186
f8,185
f18,180
f13,155
f113,143
f24,142
f44,121
f105,110
f114,104
f14,80
f50,79
f34,72
f21,57
f25,54
f100,51
f81,49
f28,48
f91,48
f70,36
f98,36
f97,35
f103,33
f76,31
f32,31
f37,30
f17,29
f41,29
f47,29
f56,29
f31,23
f29,20
f51,20
f54,17
f39,13
f72,8
f89,7
