,score
f95,19061
f0,4690
f96,3312
f1,1115
f386,963
f98,863
f103,809
f2,801
f387,773
f838,679
f483,632
f64,606
f949,601
f587,597
f167,595
f162,594
f588,583
f100,560
f841,525
f484,521
f168,518
f1575,512
f106,507
f694,500
f1583,499
f1080,459
f1078,424
f136,419
f951,408
f486,399
f953,378
f693,377
f697,362
f1200,361
f111,349
f385,343
f1324,343
f698,336
f169,335
f231,333
f1555,330
f1172,318
f839,298
f590,298
f102,292
f174,290
f1198,277
f727,276
f164,275
f958,275
f290,262
f1563,259
f3,258
f589,251
f1565,246
f1077,241
f740,241
f1585,236
f112,224
f1567,221
f1127,220
f999,220
f1232,219
f696,217
f485,212
f985,211
f769,211
f1084,209
f488,207
f1329,203
f1321,197
f1579,196
f204,195
f127,192
f292,191
f388,190
f952,190
f177,189
f119,189
f1204,189
f1085,186
f295,180
f1211,178
f1503,177
f1561,173
f108,170
f1233,166
f1042,165
f298,165
f1319,162
f331,162
f124,161
f1002,157
f904,156
f1214,154
f114,154
f708,153
f179,153
f1217,148
f1083,147
f730,146
f1117,145
f715,145
f1577,144
f173,143
f1573,142
f128,142
f968,139
f1242,137
f948,136
f1109,134
f105,134
f1041,132
f1587,131
f321,131
f185,131
f1451,130
f4,129
f170,128
f8,128
f140,126
f115,125
f950,124
f1201,124
f707,123
f807,123
f113,122
f143,121
f1445,119
f1504,118
f1501,118
f978,117
f1001,117
f1228,116
f1118,114
f1407,113
f954,113
f1589,111
f1551,110
f1115,109
f1108,107
f963,107
f749,107
f1584,107
f1022,107
f1430,106
f1036,103
f317,103
f1034,103
f784,101
f757,101
f1081,100
f1134,100
f1031,98
f1015,98
f1029,98
f695,97
f984,96
f134,96
f1408,96
f1017,96
f902,94
f1506,94
f291,93
f709,93
f176,93
f1576,90
f987,90
f5,90
f125,89
f1569,89
f1234,89
f77,88
f969,87
f591,87
f1024,86
f1326,86
f840,85
f745,85
f161,84
f1145,83
f1027,82
f107,82
f122,82
f101,81
f1320,81
f1091,81
f1442,81
f132,81
f1114,80
f200,80
f1138,79
f1199,78
f104,77
f1175,77
f312,76
f116,76
f1509,75
f959,75
f1556,75
f1508,75
f1511,74
f718,74
f120,73
f147,72
f1178,72
f319,71
f870,70
f97,70
f1454,69
f395,69
f741,69
f348,68
f1431,68
f979,67
f977,66
f137,66
f1120,65
f986,65
f763,64
f93,64
f983,63
f9,63
f873,63
f1518,62
f56,62
f282,61
f35,61
f129,60
f445,60
f390,59
f762,59
f864,59
f1000,59
f748,59
f1437,59
f1564,58
f307,58
f989,56
f747,56
f731,56
f981,55
f754,55
f886,54
f1095,54
f1553,53
f131,53
f165,53
f866,51
f1028,51
f1241,51
f172,50
f139,50
f1119,50
f407,49
f1268,49
f431,49
f1135,49
f152,49
f1020,48
f1151,48
f345,48
f1566,48
f782,48
f392,48
f702,48
f289,47
f774,47
f729,46
f1513,45
f141,45
f1048,45
f121,45
f990,44
f1325,44
f126,44
f67,43
f1236,43
f982,43
f1011,42
f1037,42
f1435,41
f1098,41
f1448,41
f1014,41
f701,41
f605,41
f1124,41
f962,41
f1224,40
f175,40
f1568,39
f117,39
f306,39
f742,39
f1586,39
f294,39
f1356,39
f860,39
f1054,38
f209,38
f1562,38
f1571,38
f487,38
f1160,38
f205,37
f341,37
f787,37
f48,37
f1580,37
f596,37
f794,37
f296,36
f421,36
f1557,36
f338,36
f1046,35
f881,35
f837,35
f224,35
f322,35
f258,35
f861,35
f270,35
f305,35
f595,35
f236,34
f154,34
f342,34
f1450,33
f1129,33
f142,33
f1434,33
f1133,33
f310,33
f917,33
f752,32
f799,32
f1039,32
f171,32
f1438,32
f957,32
f1038,32
f882,31
f703,31
f186,31
f1208,31
f1221,31
f398,31
f299,31
f10,31
f133,30
f878,30
f1502,30
f593,30
f815,30
f163,30
f1176,30
f1512,29
f1223,29
f181,28
f1574,28
f1019,28
f1559,28
f1328,28
f180,28
f1202,28
f7,28
f716,27
f301,27
f779,27
f734,27
f78,27
f750,26
f955,26
f1392,26
f49,26
f1349,26
f1143,26
f249,26
f76,26
f19,25
f549,25
f417,25
f1581,25
f221,24
f1588,24
f1578,24
f1206,24
f300,24
f848,24
f1043,24
f756,24
f1051,24
f130,24
f315,23
f1030,23
f324,23
f1163,23
f6,23
f1123,23
f1032,22
f1510,22
f43,22
f346,22
f320,22
f1173,22
f865,22
f332,22
f210,22
f65,22
f1367,22
f1516,21
f1333,21
f755,21
f863,21
f340,21
f783,21
f39,20
f38,20
f1215,20
f765,20
f399,20
f1331,20
f1050,20
f766,20
f1179,20
f45,20
f149,20
f964,19
f1058,19
f68,19
f11,19
f158,19
f1023,19
f1305,18
f184,18
f1122,18
f1505,18
f770,18
f1590,18
f611,17
f297,17
f304,17
f1432,17
f1291,17
f244,17
f1570,16
f604,16
f441,16
f842,16
f733,16
f415,16
f419,16
f872,16
f318,16
f53,15
f1156,15
f32,15
f1148,15
f391,15
f1339,15
f15,15
f193,15
f791,15
f511,15
f874,15
f60,15
f1153,15
f1137,15
f1025,15
f46,14
f1323,14
f327,14
f1142,14
f1322,14
f255,14
f82,14
f275,14
f1107,14
f66,14
f1040,13
f887,13
f1552,13
f1092,13
f525,13
f16,13
f760,13
f1056,12
f862,12
f1033,12
f408,12
f897,12
f109,12
f1205,12
f1460,12
f260,12
f1026,11
f1128,11
f1218,11
f751,11
f355,11
f339,11
f303,11
f280,11
f449,11
f440,11
f616,11
f18,11
f86,11
f1055,10
f1044,10
f496,10
f1190,10
f494,10
f1016,10
f550,10
f406,9
f1572,9
f70,9
f607,9
f1090,9
f1447,9
f50,9
f1045,9
f502,9
f1219,9
f394,9
f891,9
f153,9
f281,9
f644,9
f1131,9
f710,9
f777,9
f313,8
f138,8
f81,8
f288,8
f844,8
f1144,8
f22,8
f353,8
f1185,8
f335,8
f1446,8
f323,8
f432,8
f1560,8
f400,8
f87,8
f832,7
f746,7
f877,7
f20,7
f499,7
f914,7
f410,7
f893,7
f389,7
f1082,7
f30,7
f753,7
f37,7
f1018,7
f880,7
f1180,7
f785,7
f1004,7
f773,7
f44,7
f308,7
f772,7
f42,7
f94,7
f91,7
f980,7
f396,6
f1162,6
f397,6
f1158,6
f159,6
f1187,6
f634,6
f797,6
f599,6
f1191,6
f316,6
f767,6
f57,6
f789,6
f182,6
f17,6
f12,6
f896,6
f1439,6
f901,6
f523,6
f1273,6
f360,6
f47,5
f1132,5
f311,5
f1332,5
f61,5
f500,5
f354,5
f1376,5
f1087,5
f1125,5
f654,5
f521,5
f956,5
f1053,5
f223,5
f148,5
f40,5
f1554,5
f1481,5
f401,5
f230,5
f721,5
f62,5
f329,5
f145,5
f240,5
f1558,5
f99,5
f302,5
f1484,5
f418,4
f202,4
f1220,4
f1073,4
f403,4
f1182,4
f1049,4
f54,4
f359,4
f1183,4
f1203,4
f71,4
f423,4
f869,4
f151,4
f404,4
f85,4
f424,4
f435,4
f63,4
f1159,4
f429,4
f553,4
f88,4
f438,4
f1394,4
f536,4
f1139,4
f1161,4
f92,4
f79,4
f1192,4
f24,4
f1035,4
f446,4
f786,4
f442,4
f245,4
f1089,4
f412,4
f211,4
f1181,4
f1059,4
f1272,4
f58,3
f796,3
f1244,3
f1582,3
f72,3
f803,3
f761,3
f52,3
f192,3
f1197,3
f1094,3
f178,3
f826,3
f274,3
f843,3
f1155,3
f1102,3
f655,3
f892,3
f232,3
f160,3
f222,3
f1523,3
f420,3
f739,3
f738,3
f888,3
f422,3
f156,3
f89,3
f405,3
f216,3
f21,3
f1174,3
f768,3
f640,3
f23,3
f535,3
f59,3
f908,3
f630,3
f1360,3
f212,3
f628,2
f493,2
f90,2
f883,2
f905,2
f912,2
f456,2
f495,2
f884,2
f27,2
f234,2
f166,2
f737,2
f241,2
f504,2
f31,2
f546,2
f191,2
f601,2
f1021,2
f898,2
f1443,2
f744,2
f788,2
f906,2
f1416,2
f1436,2
f378,2
f868,2
f55,2
f1086,2
f51,2
f793,2
f825,2
f1096,2
f36,2
f1130,2
f411,2
f560,2
f283,2
f705,2
f284,2
f1047,2
f600,2
f503,2
f380,2
f201,2
f907,2
f1003,2
f413,2
f522,2
f427,2
f516,2
f724,2
f490,2
f498,2
f214,2
f919,2
f479,2
f439,2
f1336,2
f269,2
f448,1
f250,1
f1126,1
f612,1
